"Campaign","Ad Group","Keyword","Criterion Type"
"VL | Marca","Marca","vertice labs","Exact"
"VL | Sites","Criação de Site","fazer site sob encomenda","Phrase"
"VL | Sites","Criação de Site","criar site para meu negocio","Phrase"
"VL | Sites","Criação de Site","preco para criar um site","Phrase"
"VL | Sites","Landing Page","criar landing page","Exact"
"VL | Sites","Landing Page","criacao de landing page","Exact"
"VL | Sites","Landing Page","site de alta conversao","Exact"
"VL | Sites","Landing Page","pagina de vendas","Exact"
"VL | Sites","Landing Page","site que converte","Exact"
"VL | Sites","Landing Page","criar pagina de vendas","Exact"
"VL | Sites","Landing Page","desenvolvimento de landing page","Phrase"
"VL | Sites","Landing Page","criar site para vender","Phrase"
"VL | Sites","Landing Page","pagina de captura de leads","Phrase"
"VL | Sites","Landing Page","landing page profissional","Phrase"
"VL | Sites","Landing Page","site feito para converter","Phrase"
"VL | Sites","Landing Page","criacao de pagina de vendas","Phrase"
"VL | Sites","Landing Page","landing page de alta conversao","Phrase"
"VL | Sites","Landing Page","quem faz landing page","Phrase"
"VL | Sites","Landing Page","contratar para fazer landing page","Phrase"
"VL | Agência","Agência Marketing","agencia de marketing digital","Exact"
"VL | Agência","Agência Marketing","agencia de marketing","Exact"
"VL | Agência","Agência Marketing","agencia de marketing de performance","Exact"
"VL | Agência","Agência Marketing","empresa de marketing digital","Exact"
"VL | Agência","Agência Marketing","agencia de marketing para empresas","Exact"
"VL | Agência","Agência Marketing","agencia de performance","Exact"
"VL | Agência","Agência Marketing","agencia de marketing digital para empresas","Phrase"
"VL | Agência","Agência Marketing","consultoria de marketing digital","Phrase"
"VL | Agência","Agência Marketing","marketing digital para empresas","Phrase"
"VL | Agência","Agência Marketing","assessoria de marketing digital","Phrase"
"VL | Agência","Agência Marketing","melhor agencia de marketing digital","Phrase"
"VL | Agência","Agência Marketing","agencia de publicidade digital","Phrase"
"VL | Agência","Agência Marketing","contratar agencia de marketing","Phrase"
